id,profession,partnership-no,practice-code,name,address-1,address-2,council,county,health-trust-area,postcode,tel,lat,long
pharm-1,Pharmacy,0017,,BTA PHARMA LTD,23/25 Clifton Street,Belfast,Belfast,Antrim,Belfast Trust,BT13 1AD,028 9024 5033,53.269538,-2.9997699
pharm-2,Pharmacy,0031,,ADDY,395 Lisburn Road,Belfast,Belfast,Antrim,Belfast Trust,BT9 7EW,028 9066 7767,53.24117,-3.012265
pharm-3,Pharmacy,0048,,MCKENZIE RICE LTD,142 North Queen Street,Belfast,Belfast,Antrim,Belfast Trust,BT15 1HQ,028 9074 6109,53.275039,-2.9912003
pharm-4,Pharmacy,0062,,BOOTS UK LTD,107/111 Ravenhill Road,Belfast,Belfast,Down,Belfast Trust,BT6 8DR,028 9045 7913,53.254173,-2.9740048
pharm-5,Pharmacy,0079,,GORDON LTD,55 Castle Street,Belfast,Belfast,Antrim,Belfast Trust,BT1 1GH,028 9032 0040,53.261642,-2.9958227
pharm-6,Pharmacy,0086,,GMAC HEALTH LTD,82 High Street,Bangor,North Down and Ards,Down,South East Trust,BT20 5AZ,028 9147 3380,53.33239,-2.7409891
pharm-7,Pharmacy,0093,,GMAC HEALTH LTD,41 Main Street,Millisle,North Down and Ards,Down,South East Trust,BT22 2BL,028 9186 1877,53.281064,-2.6055363
pharm-8,Pharmacy,0103,,GORDON LTD,187 Albertbridge Road,Belfast,Belfast,Down,Belfast Trust,BT5 4PS,028 9045 8318,53.25804,-2.9671821
pharm-9,Pharmacy,0110,,GORDON LTD,13 Greenway,Cregagh Belfast,Belfast,Down,Belfast Trust,BT6 0DT,028 9040 1023,53.238527,-2.9591303
pharm-10,Pharmacy,0127,,GORDON LTD,33 High Street,Ballynahinch,"Newry, Mourne and Down",Down,,BT24 8AB,028 9756 2329,53.064925,-2.9479408
pharm-11,Pharmacy,0134,,GORDON LTD,54 - 56 Bow Street,Lisburn,Lisburn and Castlereagh,Antrim,,BT28 1BN,028 9267 4747,53.170959,-3.1009862
pharm-12,Pharmacy,0141,,GORDON LTD,164 Longstone Street,Lisburn,Lisburn and Castlereagh,Antrim,,BT28 1TT,028 9266 3106,53.168614,-3.1124599
pharm-13,Pharmacy,0158,,GORDON LTD,167/169 Shankill Road,Belfast,Belfast,Antrim,Belfast Trust,BT13 1FP,028 9024 4836,53.266124,-3.0112501
pharm-14,Pharmacy,0165,,BOOTS UK LTD,124 Cavehill Road,Belfast,Belfast,Antrim,Belfast Trust,BT15 5BU,028 9039 1720,53.292745,-3.0117589
pharm-15,Pharmacy,0172,,BOOTS UK LTD,35/47 Donegall Place,Belfast,Belfast,Antrim,Belfast Trust,BT1 5AW,028 9024 2332,53.260098,-2.9945126
pharm-16,Pharmacy,0189,,GORDON LTD,2A Regent Street,Newtownards,North Down and Ards,Down,South East Trust,BT23 4LH,028 9181 3217,53.262021,-2.7685108
pharm-17,Pharmacy,0196,,GORDON LTD,110 Abbey Street,Bangor,North Down and Ards,Down,South East Trust,BT20 4JB,028 9127 0408,53.325811,-2.7495832
pharm-18,Pharmacy,0206,,BELL,238 Crumlin Road,Belfast,Belfast,Antrim,Belfast Trust,BT14 7ED,028 9074 3569,53.272255,-3.0154287
pharm-19,Pharmacy,0220,,MAGHABERRY PHARMACY LTD,Unit 3 Maghaberry Road,Maghaberry Moira,Lisburn and Castlereagh,Antrim,,BT67 0JF,028 9261 9259,53.162012,-3.2341763
pharm-20,Pharmacy,0251,,GORDON LTD,35/45 Castlereagh Road,Belfast,Belfast,Down,Belfast Trust,BT5 5FB,028 9045 7852,53.255114,-2.9632638
pharm-21,Pharmacy,0268,,GORDON LTD,68 Main Street,Bushmills,Causeway Coast and Glens,Antrim,Northern Trust,BT57 8QD,028 2073 1247,53.852277,-3.6116212
pharm-22,Pharmacy,0275,,GORDON LTD,4 The Diamond,Coleraine,Causeway Coast and Glens,Derry,Northern Trust,BT52 1DE,028 7034 3042,53.774507,-3.7498755
pharm-23,Pharmacy,0282,,BESTWAY BELFAST CHEMISTS LTD,125 Newtownards Road,Belfast,Belfast,Down,Belfast Trust,BT4 1AB,028 9045 7959,53.262521,-2.9688124
pharm-24,Pharmacy,0299,,BESTWAY BELFAST CHEMISTS LTD,58/60 Woodvale Road,Belfast,Belfast,Antrim,Belfast Trust,BT13 3BT,028 9032 1543,53.26823,-3.0246296
pharm-25,Pharmacy,0309,,GROVES PHARMACY LTD,50 Belmont Road,Belfast,Belfast,Down,Belfast Trust,BT4 2AN,028 9047 1629,53.264229,-2.9419242
pharm-26,Pharmacy,0316,,MAGUIRE LTD,3 Beechmount Avenue,Belfast,Belfast,Antrim,Belfast Trust,BT12 7NA,028 9032 0590,53.254553,-3.0251271
pharm-27,Pharmacy,0330,,MAGUIRE LTD,505 Falls Road,Belfast,Belfast,Antrim,Belfast Trust,BT12 6DE,028 9032 7140,53.25052,-3.0310858
pharm-28,Pharmacy,0354,,BESTWAY BELFAST CHEMISTS LTD,155/161 Crumlin Road,Belfast,Belfast,Antrim,Belfast Trust,BT14 7AA,028 9035 1170,53.271876,-3.0113709
pharm-29,Pharmacy,0361,,BESTWAY BELFAST CHEMISTS LTD,70 Ballygomartin Road,Belfast,Belfast,Antrim,Belfast Trust,BT13 3NE,028 9039 1068,53.270118,-3.0350212
pharm-30,Pharmacy,0378,,BESTWAY BELFAST CHEMISTS LTD,332 Donegall Road,Belfast,Belfast,Antrim,Belfast Trust,BT12 6FX,028 9032 6739,53.250463,-3.0146876
pharm-31,Pharmacy,0385,,BOOTS UK LTD,Unit 5 Connswater Shopping Centre,Bloomfield Avenue Belfast,Belfast,Down,Belfast Trust,BT5 5AB,028 9045 9871,53.258266,-2.9525563
pharm-32,Pharmacy,0392,,GORDON LTD,416/418 Woodstock Road,Belfast,Belfast,Down,Belfast Trust,BT6 9DQ,028 9045 8846,53.250785,-2.9638859
pharm-33,Pharmacy,0419,,BOOTS UK LTD,Unit 7 Park Centre,Donegall Road Belfast,Belfast,Antrim,Belfast Trust,BT12 6HN,028 9032 5466,53.25077,-3.0239125
pharm-34,Pharmacy,0426,,ENTERPRISES (NI) LTD,11 Conway Square,Newtownards,North Down and Ards,Down,South East Trust,BT23 4DA,028 9181 2129,53.261707,-2.767036
pharm-35,Pharmacy,0457,,GORDON LTD,26 Greencastle Street,Kilkeel,"Newry, Mourne and Down",Down,,BT34 4BH,028 4176 2231,52.722101,-3.0313085
pharm-36,Pharmacy,0471,,BOOTS UK LTD,Unit 26/27 Castle Court,Belfast,Belfast,Antrim,Belfast Trust,BT1 1DD,028 9032 2803,53.262858,-2.997695
pharm-37,Pharmacy,0488,,GORDON LTD,57 Newcastle Street,Kilkeel,"Newry, Mourne and Down",Down,,BT34 4AQ,028 4176 2295,52.7258,-3.0235775
pharm-38,Pharmacy,0495,,AGHALEE PHARMACY PRACTICE LTD,8E  Lurgan Road,Aghalee Craigavon,Lisburn and Castlereagh,Antrim,,BT67 0DD,028 9265 0000,53.174406,-3.3159092
pharm-39,Pharmacy,0505,,CLOVERDALE MERCHANTS LTD,32B Upper Malone Road,Belfast,Belfast,Antrim,Belfast Trust,BT9 5NA,028 9061 3371,53.217419,-3.0240154
pharm-40,Pharmacy,0512,,CAMPBELLS DISPENSARY LTD,461 Springfield Road,Belfast,Belfast,Antrim,Belfast Trust,BT12 7DN,028 9032 6266,53.260837,-3.0344223
pharm-41,Pharmacy,0529,,GORDON LTD,15 - 17 Cornmarket,Belfast,Belfast,Antrim,Belfast Trust,BT1 4DA,028 9033 0231,53.261379,-2.9917839
pharm-42,Pharmacy,0536,,CHEMCARE (NI) LTD,386 Upper Newtownards Road,Belfast,Belfast,Down,Belfast Trust,BT4 3EY,028 9065 5166,53.25928,-2.9322662
pharm-43,Pharmacy,0543,,CHEMCARE (NI) LTD,328 Upper Newtownards Road,Belfast,Belfast,Down,Belfast Trust,BT4 3EX,028 9047 1313,53.259239,-2.9340942
pharm-44,Pharmacy,0550,,CLOVERDALE MERCHANTS LTD,366A Lisburn Road,Belfast,Belfast,Antrim,Belfast Trust,BT9 6GL,028 9066 7177,53.234337,-3.0198196
pharm-45,Pharmacy,0567,,KENNEDY'S PHARMACY LTD,56 Main Street,Rasharkin,Causeway Coast and Glens,Antrim,Northern Trust,BT44 8PX,028 2957 1124,53.6077,-3.5567035
pharm-46,Pharmacy,0574,,KENNEDY'S PHARMACY LTD,169 Tullaghans Road,Dunloy,Causeway Coast and Glens,Antrim,Northern Trust,BT44 9AF,028 2765 7803,53.661325,-3.4899854
pharm-47,Pharmacy,0581,,VILLAGE PHARMACY LTD,59 Main Street,Ballinamallard,Fermanagh and Omagh,Fermanagh,,BT94 2FZ,028 6638 9990,53.044873,-4.5898192
pharm-48,Pharmacy,0598,,FINTONA MEDICAL HALL LTD,92 Main Street,Fintona,Fermanagh and Omagh,Tyrone,,BT78 2AE,028 8284 1214,53.125279,-4.329589
pharm-49,Pharmacy,0622,,CEWF LTD,157 Oldpark Road,Belfast,Belfast,Antrim,Belfast Trust,BT14 6QP,028 9035 1506,53.276082,-3.01258
pharm-50,Pharmacy,0639,,HARRISON HEALTHCARE LTD,40E Donegall Pass,Belfast,Belfast,Antrim,Belfast Trust,BT7 1BS,028 9032 0059,53.252196,-2.994614
pharm-51,Pharmacy,0646,,BOOTS UK LTD,423 Upper Newtownards Road,Belfast,Belfast,Down,Belfast Trust,BT4 3LH,028 9065 4612,53.258715,-2.9216405
pharm-52,Pharmacy,0677,,BALLYSILLAN PHARMACY LTD,697 Oldpark Road,Belfast,Belfast,Antrim,Belfast Trust,BT14 6QY,028 9039 1922,53.287762,-3.0289973
